0 0 0 BBBJCCH..J.KHAAJ.K..IDDLEEI..L....GG
1 1 0 BBBJCC...J.KHAAJ.KH.IDDLEEI..L....GG H2 
1 1 0 BBBJCCH..J.KHAAJ.K..IDDLEEI..LGG.... H2 G96 
1 1 0 BBBJCCH..J.KHAAJ.K..IDDLEEI..L...GG. H2 G99 
1 1 0 BBBJCCH..J.KHAAJ.K...DDLEEI..L..I.GG H2 G99 I99 
1 1 0 BBBJCCH..J.KHAAJ.K..IDDLEEI..L..GG.. H2 G98 I99 
1 1 0 BBBJCCH..J.KHAAJ.K..IDDLEEI..L.GG... H2 G97 I99 
2 2 0 BBBJCC...J.KHAAJ.KH.IDDLEEI..LGG.... H2 G96 I99 
2 2 0 BBBJCC...J.KHAAJ.KH.IDDLEEI..L...GG. H2 G99 I99 
2 2 0 BBBJCCH..J.KHAAJ.K..IDD.EEI..L..GG.L H2 G99 I99 L99 
2 2 0 BBBJCCH..J.KHAAJ.K..IDD.EEI..L.GG..L H2 G99 I99 L99 
2 2 0 BBBJCC...J.KHAAJ.KH..DDLEEI..L..I.GG H2 G99 I99 L99 
2 2 0 BBBJCCH..J.KHAAJ.K.DD..LEEI..L..I.GG H2 G99 I99 L99 D98 
2 2 0 BBBJCCH..J.KHAAJ.KDD...LEEI..L..I.GG H2 G99 I99 L99 D97 
2 2 0 BBBJCCH..J.KHAAJ.K...DDLEEI..LGGI... H2 G99 I99 L99 D97 
2 2 0 BBBJCCH..J.KHAAJ.K...DDLEEI..L..IGG. H2 G99 I99 L99 D97 
2 2 0 BBBJCCH..J.KHAAJ.K..DD.LEEI..L..I.GG H2 G99 I99 L99 D99 
2 2 0 BBBJCCH..J.KHAAJ.K..IDD.EEI..LGG...L H2 G99 I99 L99 D99 
2 2 0 BBBJCC...J.KHAAJ.KH.IDDLEEI..L..GG.. H2 G98 I99 L99 D99 
2 2 0 BBBJCCH..J.KHAAJ.K..IDD.EEI..L...GGL H2 G98 I99 L99 D99 
2 2 0 BBBJCC...J.KHAAJ.KH.IDDLEEI..L.GG... H2 G97 I99 L99 D99 
3 3 0 BBBJCC...J.KHAAJ.KH..DDLEEI..LGGI... H2 G97 I99 L99 D99 
3 3 0 BBBJCC...J.KHAAJ.KH..DDLEEI..L..IGG. H2 G97 I99 L99 D99 
3 3 0 BBBJCC...J.KHAAJ.KH.DD.LEEI..L..I.GG H2 G97 I99 L99 D99 
3 3 0 BBBJCCH..J..HAAJ.K..IDDKEEI..L...GGL H2 G97 I99 L99 D99 K3 
3 3 0 BBBJCCH..J.KHAAJ.K..DD.LEEI..LGGI... H2 G97 I99 L99 D99 K3 
3 3 0 BBBJCCH..J.KHAAJ.K..I.DDEEI..L...GGL H2 G97 I99 L99 D99 K3 
3 3 0 BBBJCC...J.KHAAJ.KH.IDD.EEI..LGG...L H2 G97 I99 L99 D99 K3 
3 3 0 BBBJCCH..J.KHAAJ.K.DD..LEEI..LGGI... H2 G97 I99 L99 D98 K3 
3 3 0 BBBJCCH..J.KHAAJ.KDD...LEEI..LGGI... H2 G97 I99 L99 D97 K3 
3 3 0 BBBJCC...J.KHAAJ.KH.IDD.EEI..L...GGL H2 G97 I99 L99 D97 K3 
3 3 0 BBBJCCH..J.KHAAJ.K..I.DDEEI..L.GG..L H2 G97 I99 L99 D99 K3 
3 3 0 BBBJCCH..J.KHAAJ.KDDI..LEEI..L....GG H2 G97 I98 L99 D99 K3 
3 3 0 BBB.CCH..J.KHAAJ.KDD.J.LEEI..L..I.GG H2 G97 I98 L99 D99 K3 J2 
3 3 0 BBBJCCH..J.KHAAJ.K..I.DDEEI..L..GG.L H2 G97 I98 L99 D99 K3 J2 
3 3 0 BBB.CCH....KHAAJ.KDD.J.LEEIJ.L..I.GG H2 G97 I98 L99 D99 K3 J1 
3 3 0 BBB.CCH....KHAA..KDD.J.LEEIJ.L..IJGG H2 G97 I98 L99 D99 K3 J0 
3 3 0 BBB.CCH..J.KHAAJ.K.DDJ.LEEI..L..I.GG H2 G97 I98 L99 D99 K3 J2 
3 3 0 BBBJCCH..J.KHAAJ.K.DD..LEEI..L..IGG. H2 G99 I98 L99 D99 K3 J2 
3 3 0 BBBJCCH..J.KHAAJ.K...DD.EEI..LGGI..L H2 G99 I98 L99 D99 K3 J2 
3 3 0 BBBJCCH..J..HAAJ.K..IDDKEEI..LGG...L H2 G99 I98 L99 D99 K3 J2 
3 3 0 BBB.CCH....KHAAJ.K.DDJ.LEEIJ.L..I.GG H2 G99 I98 L99 D99 K3 J1 
3 3 0 BBB.CCH....KHAA..K.DDJ.LEEIJ.L..IJGG H2 G99 I98 L99 D99 K3 J0 
3 3 0 BBBJCCH..J.KHAAJ.KDD...LEEI..L..IGG. H2 G99 I98 L99 D99 K3 J0 
3 3 0 BBBJCC...J.KHAAJ.KHDD..LEEI..L..I.GG H2 G99 I98 L99 D98 K3 J0 
3 3 0 BBBJCCH..J..HAAJ.K..IDDKEEI..L.GG..L H2 G99 I98 L99 D98 K3 J0 
3 3 0 BBBJCCH..J.KHAAJ.K...DD.EEI..L..IGGL H2 G99 I98 L99 D98 K3 J0 
3 3 0 BBBJCCH..J.KHAAJ.K..I.DDEEI..LGG...L H2 G99 I98 L99 D99 K3 J0 
3 3 0 BBBJCC...J.KHAAJ.KH.IDD.EEI..L.GG..L H2 G99 I98 L99 D99 K3 J0 
3 3 0 BBBJCCH..J..HAAJ.K..IDDKEEI..L..GG.L H2 G99 I98 L99 D99 K3 J0 
3 3 0 BBBJCCH..J.KHAAJ.K..DD.LEEI..L..IGG. H2 G99 I98 L99 D99 K3 J0 
3 3 0 BBBJCC...J.KHAAJ.KH.IDD.EEI..L..GG.L H2 G99 I98 L99 D99 K3 J0 
4 4 0 BBBJCC...J.KHAAJ.KHDD..LEEI..LGGI... H2 G99 I98 L99 D98 K3 J0 
4 4 0 BBBJCC...J.KHAAJ.KH..DD.EEI..L..IGGL H2 G99 I98 L99 D98 K3 J0 
4 4 0 BBBJCCH..J.KHAAJ.K....DDEEI..L..IGGL H2 G99 I99 L99 D98 K3 J0 
4 4 0 BBBJCC...J.KHAAJ.KH.I.DDEEI..L..GG.L H2 G99 I99 L99 D98 K3 J0 
4 4 0 BBBCC.H..J.KHAAJ.K.DDJ.LEEI..L..I.GG H2 G99 I99 L99 D98 K3 J0 C99 
4 4 0 BBB.CCH..J.KHAAJ.K..IJDDEEI..LGG...L H2 G99 I99 L99 D98 K3 J2 C99 
4 4 0 BBBJCC...J..HAAJ.KH.IDDKEEI..L.GG..L H2 G99 I99 L99 D98 K3 J2 C99 
4 4 0 .BBBCCH..J.KHAAJ.K.DDJ.LEEI..L..I.GG H2 G99 I99 L99 D98 K3 J2 C99 B99 
4 4 0 BBBJCC...J.KHAAJ.KH..DD.EEI..LGGI..L H2 G99 I99 L99 D98 K3 J2 C99 B99 
4 4 0 BBB.CCH....KH..AAKDD.J.LEEIJ.L..IJGG H2 G99 I99 L99 D98 K3 J2 C99 B99 A98 
4 4 0 BBBCC.H....KHAA..KDD.J.LEEIJ.L..IJGG H2 G99 I99 L99 D98 K3 J2 C99 B99 A98 
4 4 0 BBBJCC...J.KHAAJ.KH.DD.LEEI..L..IGG. H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBBJCCH..J.KHAAJ.K..DD..EEI..LGGI..L H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 .BBBCCH....KHAA..KDD.J.LEEIJ.L..IJGG H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBBCC.H....KHAAJ.KDD.J.LEEIJ.L..I.GG H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBBJCCH..J..HAAJ.K...DDKEEI..L..IGGL H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 .BBBCCH....KHAAJ.KDD.J.LEEIJ.L..I.GG H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBB.CCH..J.KHAAJ.K..IJDDEEI..L..GG.L H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBBJCC...J.KHAAJ.KH.I.DDEEI..LGG...L H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBBJCCH..J.KHAAJ.KDD....EEI..LGGI..L H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBBCC.H..J.KHAAJ.KDD.J.LEEI..L..I.GG H2 G99 I99 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBB.CCH....KHAAJ.K..IJDDEEIJ.L..GG.L H2 G99 I99 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBB.CCH..J.KHAAJ.KDD.J.LEEI..L..IGG. H2 G99 I99 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBBJCCH..J.KHAAJ.K.DD...EEI..LGGI..L H2 G99 I99 L99 D99 K3 J1 C99 B99 A98 
4 4 0 .BBBCCH..J.KHAAJ.KDD.J.LEEI..L..I.GG H2 G99 I99 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBBJCCH..J.KHAAJ.KDDI..LEEI..L..GG.. H2 G98 I99 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBBJCCH..J.KHAAJ.KDDI..LEEI..LGG.... H2 G98 I98 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBBJCCH..J.KHAAJ.KDDI..LEEI..L.GG... H2 G97 I98 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBBJCCH..J.KHAAJ.KDDI..LEEI..L...GG. H2 G99 I98 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBB.CCH..J.KHAAJ.KDDIJ.LEEI..L....GG H2 G99 I98 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBBJCC...J.KHAAJ.KH.I.DDEEI..L.GG..L H2 G99 I98 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBB.CCH....KHAAJ.KDDIJ.LEEIJ.L....GG H2 G99 I98 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBB.CCH....KHAA..KDDIJ.LEEIJ.L...JGG H2 G99 I98 L99 D99 K3 J0 C99 B99 A98 
4 4 0 BBB.CCH..J.KHAAJ.K..IJDDEEI..L.GG..L H2 G99 I98 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBB.CCH....KHAAJ.KDD.J.LEEIJ.L..IGG. H2 G99 I98 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBB.CCH..J.KHAAJ.K.DDJ.LEEI..L..IGG. H2 G99 I98 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBB.CC.....KHAAJ.KHDDJ.LEEIJ.L..I.GG H2 G99 I98 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBBJCC...J..HAAJ.KH.IDDKEEI..L..GG.L H2 G99 I98 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBB.CCH....KHAAJ.K..IJDDEEIJ.L.GG..L H2 G99 I98 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBB.CCH....KHAA..K..IJDDEEIJ.L.GGJ.L H2 G99 I98 L99 D99 K3 J0 C99 B99 A98 
4 4 0 BBB.CCH....KH.AA.KDD.J.LEEIJ.L..IJGG H2 G99 I98 L99 D99 K3 J0 C99 B99 A99 
4 4 0 BBB.CCH..J.KHAAJ.KDD.J.LEEI..LGGI... H2 G99 I98 L99 D99 K3 J2 C99 B99 A99 
4 4 0 BBB.CCH....KHAAJ.KDD.J.LEEIJ.LGGI... H2 G99 I98 L99 D99 K3 J1 C99 B99 A99 
4 4 0 BBBJCCH..J.KHAAJ.K.DD...EEI..L..IGGL H2 G99 I98 L99 D99 K3 J1 C99 B99 A99 
4 4 0 BBBJCCH..J..HAAJ.K...DDKEEI..LGGI..L H2 G99 I98 L99 D99 K3 J1 C99 B99 A99 
4 4 0 BBB.CCH....KHAA..KDD.J.LEEIJ.LGGIJ.. H2 G99 I98 L99 D99 K3 J0 C99 B99 A99 
4 4 0 BBB.CCH..J.KHAAJ.K.DDJ.LEEI..LGGI... H2 G99 I98 L99 D99 K3 J2 C99 B99 A99 
4 4 0 BBBJCCH..J.KHAAJ.K....DDEEI..LGGI..L H2 G99 I98 L99 D99 K3 J2 C99 B99 A99 
4 4 0 BBB.CCH....KHAAJ.K.DDJ.LEEIJ.LGGI... H2 G99 I98 L99 D99 K3 J1 C99 B99 A99 
4 4 0 BBB.CCH....KHAA..K.DDJ.LEEIJ.LGGIJ.. H2 G99 I98 L99 D99 K3 J0 C99 B99 A99 
4 4 0 BBB.CCH....KH.AA.K.DDJ.LEEIJ.L..IJGG H2 G99 I98 L99 D99 K3 J0 C99 B99 A99 
4 4 0 BBB.CCH....KH..AAK.DDJ.LEEIJ.L..IJGG H2 G99 I98 L99 D99 K3 J0 C99 B99 A98 
4 4 0 BBB.CCH....KHAAJ.K..IJDDEEIJ.LGG...L H2 G99 I98 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBBJCC...J..HAAJ.KH.IDDKEEI..LGG...L H2 G99 I98 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBBJCC...J.KHAAJ.KH.I.DDEEI..L...GGL H2 G99 I98 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBBJCCH..J.KHAAJ.KDD....EEI..L..IGGL H2 G99 I98 L99 D99 K3 J1 C99 B99 A98 
4 4 0 BBB.CCH..J.KHAAJ.K..IJDDEEI..L...GGL H2 G99 I98 L99 D99 K3 J2 C99 B99 A98 
4 4 0 BBB.CCH....KHAAJ.K..IJDDEEIJ.L...GGL H2 G99 I98 L99 D99 K3 J1 C99 B99 A98 
